nrcs_fips,nrcs_county_bare,nrcs_abbr,nrcs_county
19043,Clayton,IA,Clayton County
19045,Clinton,IA,Clinton County
19047,Crawford,IA,Crawford County
19049,Dallas,IA,Dallas County
19051,Davis,IA,Davis County
19053,Decatur,IA,Decatur County
19055,Delaware,IA,Delaware County
19057,Des Moines,IA,Des Moines County
19059,Dickinson,IA,Dickinson County
19061,Dubuque,IA,Dubuque County
19063,Emmet,IA,Emmet County
19065,Fayette,IA,Fayette County
19067,Floyd,IA,Floyd County
19069,Franklin,IA,Franklin County
19071,Fremont,IA,Fremont County
19073,Greene,IA,Greene County
19075,Grundy,IA,Grundy County
19077,Guthrie,IA,Guthrie County
19079,Hamilton,IA,Hamilton County
19081,Hancock,IA,Hancock County
19083,Hardin,IA,Hardin County
19085,Harrison,IA,Harrison County
19087,Henry,IA,Henry County
19089,Howard,IA,Howard County
19091,Humboldt,IA,Humboldt County
19093,Ida,IA,Ida County
19095,Iowa,IA,Iowa County
19097,Jackson,IA,Jackson County
19099,Jasper,IA,Jasper County
19101,Jefferson,IA,Jefferson County
19103,Johnson,IA,Johnson County
19105,Jones,IA,Jones County
19107,Keokuk,IA,Keokuk County
19109,Kossuth,IA,Kossuth County
19111,Lee,IA,Lee County
19113,Linn,IA,Linn County
19115,Louisa,IA,Louisa County
19117,Lucas,IA,Lucas County
19119,Lyon,IA,Lyon County
19121,Madison,IA,Madison County
19123,Mahaska,IA,Mahaska County
19125,Marion,IA,Marion County
19127,Marshall,IA,Marshall County
19129,Mills,IA,Mills County
19131,Mitchell,IA,Mitchell County
19133,Monona,IA,Monona County
19135,Monroe,IA,Monroe County
19137,Montgomery,IA,Montgomery County
19139,Muscatine,IA,Muscatine County
19141,O Brien,IA,O Brien County
19143,Osceola,IA,Osceola County
19145,Page,IA,Page County
19147,Palo Alto,IA,Palo Alto County
19149,Plymouth,IA,Plymouth County
19151,Pocahontas,IA,Pocahontas County
19153,Polk,IA,Polk County
19155,Pottawattamie,IA,Pottawattamie County
19157,Poweshiek,IA,Poweshiek County
19159,Ringgold,IA,Ringgold County
19161,Sac,IA,Sac County
19163,Scott,IA,Scott County
19165,Shelby,IA,Shelby County
19167,Sioux,IA,Sioux County
19169,Story,IA,Story County
19171,Tama,IA,Tama County
19173,Taylor,IA,Taylor County
19175,Union,IA,Union County
19177,Van Buren,IA,Van Buren County
19179,Wapello,IA,Wapello County
19181,Warren,IA,Warren County
19183,Washington,IA,Washington County
19185,Wayne,IA,Wayne County
19187,Webster,IA,Webster County
19189,Winnebago,IA,Winnebago County
19191,Winneshiek,IA,Winneshiek County
19193,Woodbury,IA,Woodbury County
19195,Worth,IA,Worth County
19197,Wright,IA,Wright County
20001,Allen,KS,Allen County
20003,Anderson,KS,Anderson County
20005,Atchison,KS,Atchison County
20007,Barber,KS,Barber County
20009,Barton,KS,Barton County
20011,Bourbon,KS,Bourbon County
20013,Brown,KS,Brown County
20015,Butler,KS,Butler County
20017,Chase,KS,Chase County
20019,Chautauqua,KS,Chautauqua County
20021,Cherokee,KS,Cherokee County
20023,Cheyenne,KS,Cheyenne County
20025,Clark,KS,Clark County
20027,Clay,KS,Clay County
20029,Cloud,KS,Cloud County
20031,Coffey,KS,Coffey County
20033,Comanche,KS,Comanche County
20035,Cowley,KS,Cowley County
20037,Crawford,KS,Crawford County
20039,Decatur,KS,Decatur County
20041,Dickinson,KS,Dickinson County
20043,Doniphan,KS,Doniphan County
20045,Douglas,KS,Douglas County
20047,Edwards,KS,Edwards County
20049,Elk,KS,Elk County
20051,Ellis,KS,Ellis County
20053,Ellsworth,KS,Ellsworth County
20055,Finney,KS,Finney County
20057,Ford,KS,Ford County
20059,Franklin,KS,Franklin County
20061,Geary,KS,Geary County
20063,Gove,KS,Gove County
20065,Graham,KS,Graham County
20067,Grant,KS,Grant County
20069,Gray,KS,Gray County
20071,Greeley,KS,Greeley County
20073,Greenwood,KS,Greenwood County
20075,Hamilton,KS,Hamilton County
20077,Harper,KS,Harper County
20079,Harvey,KS,Harvey County
20081,Haskell,KS,Haskell County
20083,Hodgeman,KS,Hodgeman County
20085,Jackson,KS,Jackson County
20087,Jefferson,KS,Jefferson County
20089,Jewell,KS,Jewell County
20091,Johnson,KS,Johnson County
20093,Kearny,KS,Kearny County
20095,Kingman,KS,Kingman County
20097,Kiowa,KS,Kiowa County
20099,Labette,KS,Labette County
20101,Lane,KS,Lane County
20103,Leavenworth,KS,Leavenworth County
20105,Lincoln,KS,Lincoln County
20107,Linn,KS,Linn County
20109,Logan,KS,Logan County
20111,Lyon,KS,Lyon County
20113,McPherson,KS,McPherson County
20115,Marion,KS,Marion County
20117,Marshall,KS,Marshall County
20119,Meade,KS,Meade County
20121,Miami,KS,Miami County
20123,Mitchell,KS,Mitchell County
20125,Montgomery,KS,Montgomery County
20127,Morris,KS,Morris County
20129,Morton,KS,Morton County
20131,Nemaha,KS,Nemaha County
20133,Neosho,KS,Neosho County
20135,Ness,KS,Ness County
20137,Norton,KS,Norton County
20139,Osage,KS,Osage County
20141,Osborne,KS,Osborne County
20143,Ottawa,KS,Ottawa County
20145,Pawnee,KS,Pawnee County
20147,Phillips,KS,Phillips County
20149,Pottawatomie,KS,Pottawatomie County
20151,Pratt,KS,Pratt County
20153,Rawlins,KS,Rawlins County
20155,Reno,KS,Reno County
20157,Republic,KS,Republic County
20159,Rice,KS,Rice County
20161,Riley,KS,Riley County
20163,Rooks,KS,Rooks County
20165,Rush,KS,Rush County
20167,Russell,KS,Russell County
20169,Saline,KS,Saline County
20171,Scott,KS,Scott County
20173,Sedgwick,KS,Sedgwick County
20175,Seward,KS,Seward County
20177,Shawnee,KS,Shawnee County
20179,Sheridan,KS,Sheridan County
20181,Sherman,KS,Sherman County
20183,Smith,KS,Smith County
20185,Stafford,KS,Stafford County
20187,Stanton,KS,Stanton County
20189,Stevens,KS,Stevens County
20191,Sumner,KS,Sumner County
20193,Thomas,KS,Thomas County
20195,Trego,KS,Trego County
20197,Wabaunsee,KS,Wabaunsee County
20199,Wallace,KS,Wallace County
20201,Washington,KS,Washington County
20203,Wichita,KS,Wichita County
20205,Wilson,KS,Wilson County
20207,Woodson,KS,Woodson County
20209,Wyandotte,KS,Wyandotte County
21001,Adair,KY,Adair County
21003,Allen,KY,Allen County
21005,Anderson,KY,Anderson County
21007,Ballard,KY,Ballard County
21009,Barren,KY,Barren County
21011,Bath,KY,Bath County
21013,Bell,KY,Bell County
21015,Boone,KY,Boone County
21017,Bourbon,KY,Bourbon County
21019,Boyd,KY,Boyd County
21021,Boyle,KY,Boyle County
21023,Bracken,KY,Bracken County
21025,Breathitt,KY,Breathitt County
21027,Breckinridge,KY,Breckinridge County
21029,Bullitt,KY,Bullitt County
21031,Butler,KY,Butler County
21033,Caldwell,KY,Caldwell County
21035,Calloway,KY,Calloway County
21037,Campbell,KY,Campbell County
21039,Carlisle,KY,Carlisle County
21041,Carroll,KY,Carroll County
21043,Carter,KY,Carter County
21045,Casey,KY,Casey County
21047,Christian,KY,Christian County
21049,Clark,KY,Clark County
21051,Clay,KY,Clay County
21053,Clinton,KY,Clinton County
21055,Crittenden,KY,Crittenden County
21057,Cumberland,KY,Cumberland County
21059,Daviess,KY,Daviess County
21061,Edmonson,KY,Edmonson County
21063,Elliott,KY,Elliott County
21065,Estill,KY,Estill County
21067,Fayette,KY,Fayette County
21069,Fleming,KY,Fleming County
21071,Floyd,KY,Floyd County
21073,Franklin,KY,Franklin County
21075,Fulton,KY,Fulton County
21077,Gallatin,KY,Gallatin County
21079,Garrard,KY,Garrard County
21081,Grant,KY,Grant County
21083,Graves,KY,Graves County
21085,Grayson,KY,Grayson County
21087,Green,KY,Green County
21089,Greenup,KY,Greenup County
21091,Hancock,KY,Hancock County
21093,Hardin,KY,Hardin County
21095,Harlan,KY,Harlan County
21097,Harrison,KY,Harrison County
21099,Hart,KY,Hart County
21101,Henderson,KY,Henderson County
21103,Henry,KY,Henry County
21105,Hickman,KY,Hickman County
21107,Hopkins,KY,Hopkins County
21109,Jackson,KY,Jackson County
21111,Jefferson,KY,Jefferson County
21113,Jessamine,KY,Jessamine County
21115,Johnson,KY,Johnson County
21117,Kenton,KY,Kenton County
21119,Knott,KY,Knott County
21121,Knox,KY,Knox County
21123,Larue,KY,Larue County
21125,Laurel,KY,Laurel County
21127,Lawrence,KY,Lawrence County
21129,Lee,KY,Lee County
21131,Leslie,KY,Leslie County
21133,Letcher,KY,Letcher County
21135,Lewis,KY,Lewis County
21137,Lincoln,KY,Lincoln County
21139,Livingston,KY,Livingston County
21141,Logan,KY,Logan County
21143,Lyon,KY,Lyon County
21145,McCracken,KY,McCracken County
21147,McCreary,KY,McCreary County
21149,McLean,KY,McLean County
21151,Madison,KY,Madison County
21153,Magoffin,KY,Magoffin County
21155,Marion,KY,Marion County
21157,Marshall,KY,Marshall County
21159,Martin,KY,Martin County
21161,Mason,KY,Mason County
21163,Meade,KY,Meade County
21165,Menifee,KY,Menifee County
21167,Mercer,KY,Mercer County
21169,Metcalfe,KY,Metcalfe County
21171,Monroe,KY,Monroe County
21173,Montgomery,KY,Montgomery County
21175,Morgan,KY,Morgan County
21177,Muhlenberg,KY,Muhlenberg County
21179,Nelson,KY,Nelson County
21181,Nicholas,KY,Nicholas County
21183,Ohio,KY,Ohio County
21185,Oldham,KY,Oldham County
21187,Owen,KY,Owen County
21189,Owsley,KY,Owsley County
21191,Pendleton,KY,Pendleton County
21193,Perry,KY,Perry County
21195,Pike,KY,Pike County
21197,Powell,KY,Powell County
21199,Pulaski,KY,Pulaski County
21201,Robertson,KY,Robertson County
21203,Rockcastle,KY,Rockcastle County
21205,Rowan,KY,Rowan County
21207,Russell,KY,Russell County
21209,Scott,KY,Scott County
21211,Shelby,KY,Shelby County
21213,Simpson,KY,Simpson County
21215,Spencer,KY,Spencer County
21217,Taylor,KY,Taylor County
21219,Todd,KY,Todd County
21221,Trigg,KY,Trigg County
21223,Trimble,KY,Trimble County
21225,Union,KY,Union County
21227,Warren,KY,Warren County
21229,Washington,KY,Washington County
21231,Wayne,KY,Wayne County
21233,Webster,KY,Webster County
21235,Whitley,KY,Whitley County
21237,Wolfe,KY,Wolfe County
21239,Woodford,KY,Woodford County
22001,Acadia,LA,Acadia Parish
22003,Allen,LA,Allen Parish
22005,Ascension,LA,Ascension Parish
22007,Assumption,LA,Assumption Parish
22009,Avoyelles,LA,Avoyelles Parish
22011,Beauregard,LA,Beauregard Parish
22013,Bienville,LA,Bienville Parish
22015,Bossier,LA,Bossier Parish
22017,Caddo,LA,Caddo Parish
22019,Calcasieu,LA,Calcasieu Parish
22021,Caldwell,LA,Caldwell Parish
22023,Cameron,LA,Cameron Parish
22025,Catahoula,LA,Catahoula County
22027,Claiborne,LA,Claiborne Parish
22029,Concordia,LA,Concordia Parish
22031,De Soto,LA,De Soto Parish
22033,East Baton Rouge,LA,East Baton Rouge Parish
22035,East Carroll,LA,East Carroll County
22037,East Feliciana,LA,East Feliciana Parish
22039,Evangeline,LA,Evangeline Parish
22041,Franklin,LA,Franklin Parish
22043,Grant,LA,Grant Parish
22045,Iberia,LA,Iberia Parish
22047,Iberville,LA,Iberville Parish
22049,Jackson,LA,Jackson Parish
22051,Jefferson,LA,Jefferson Parish
22053,Jefferson Davis,LA,Jefferson Davis Parish
22055,Lafayette,LA,Lafayette Parish
22057,Lafourche,LA,Lafourche Parish
22059,La Salle,LA,La Salle County
22061,Lincoln,LA,Lincoln Parish
22063,Livingston,LA,Livingston Parish
22065,Madison,LA,Madison County
22067,Morehouse,LA,Morehouse Parish
22069,Natchitoches,LA,Natchitoches Parish
22071,Orleans,LA,Orleans Parish
22073,Ouachita,LA,Ouachita Parish
22075,Plaquemines,LA,Plaquemines Parish
22077,Pointe Coupee,LA,Pointe Coupee Parish
22079,Rapides,LA,Rapides Parish
22081,Red River,LA,Red River Parish
22083,Richland,LA,Richland Parish
22085,Sabine,LA,Sabine Parish
22087,St Bernard,LA,St Bernard County
22089,St Charles,LA,St Charles County
22091,St Helena,LA,St Helena County
22093,St James,LA,St James County
22095,St John the Baptist,LA,St John the Baptist County
22097,St Landry,LA,St Landry County
22099,St Martin,LA,St Martin County
22101,St Mary,LA,St Mary County
22103,St Tammany,LA,St Tammany County
22105,Tangipahoa,LA,Tangipahoa Parish
22107,Tensas,LA,Tensas Parish
22109,Terrebonne,LA,Terrebonne Parish
22111,Union,LA,Union Parish
22113,Vermilion,LA,Vermilion Parish
22115,Vernon,LA,Vernon Parish
22117,Washington,LA,Washington Parish
22119,Webster,LA,Webster Parish
22121,West Baton Rouge,LA,West Baton Rouge Parish
22123,West Carroll,LA,West Carroll Parish
22125,West Feliciana,LA,West Feliciana Parish
22127,Winn,LA,Winn Parish
23001,Androscoggin,ME,Androscoggin County
23003,Aroostook,ME,Aroostook County
23005,Cumberland,ME,Cumberland County
23007,Franklin,ME,Franklin County
23009,Hancock,ME,Hancock County
23011,Kennebec,ME,Kennebec County
23013,Knox,ME,Knox County
23015,Lincoln,ME,Lincoln County
23017,Oxford,ME,Oxford County
23019,Penobscot,ME,Penobscot County
23021,Piscataquis,ME,Piscataquis County
23023,Sagadahoc,ME,Sagadahoc County
23025,Somerset,ME,Somerset County
23027,Waldo,ME,Waldo County
23029,Washington,ME,Washington County
23031,York,ME,York County
24001,Allegany,MD,Allegany County
24003,Anne Arundel,MD,Anne Arundel County
24005,Baltimore,MD,Baltimore County
24009,Calvert,MD,Calvert County
24011,Caroline,MD,Caroline County
24013,Carroll,MD,Carroll County
24015,Cecil,MD,Cecil County
24017,Charles,MD,Charles County
24019,Dorchester,MD,Dorchester County
24021,Frederick,MD,Frederick County
24023,Garrett,MD,Garrett County
24025,Harford,MD,Harford County
24027,Howard,MD,Howard County
24029,Kent,MD,Kent County
24031,Montgomery,MD,Montgomery County
24033,Prince Georges,MD,Prince Georges County
24035,Queen Annes,MD,Queen Annes County
24037,St Marys,MD,St Marys County
24039,Somerset,MD,Somerset County
24041,Talbot,MD,Talbot County
24043,Washington,MD,Washington County
24045,Wicomico,MD,Wicomico County
24047,Worcester,MD,Worcester County
24510,Baltimore City,MD,Baltimore City County
25001,Barnstable,MA,Barnstable County
25003,Berkshire,MA,Berkshire County
25005,Bristol,MA,Bristol County
25007,Dukes,MA,Dukes County
25009,Essex,MA,Essex County
25011,Franklin,MA,Franklin County
25013,Hampden,MA,Hampden County
25015,Hampshire,MA,Hampshire County
25017,Middlesex,MA,Middlesex County
25019,Nantucket,MA,Nantucket County
25021,Norfolk,MA,Norfolk County
25023,Plymouth,MA,Plymouth County
25025,Suffolk,MA,Suffolk County
25027,Worcester,MA,Worcester County
26001,Alcona,MI,Alcona County
26003,Alger,MI,Alger County
26005,Allegan,MI,Allegan County
26007,Alpena,MI,Alpena County
26009,Antrim,MI,Antrim County
26011,Arenac,MI,Arenac County
26013,Baraga,MI,Baraga County
26015,Barry,MI,Barry County
26017,Bay,MI,Bay County
26019,Benzie,MI,Benzie County
26021,Berrien,MI,Berrien County
26023,Branch,MI,Branch County
26025,Calhoun,MI,Calhoun County
26027,Cass,MI,Cass County
26029,Charlevoix,MI,Charlevoix County
26031,Cheboygan,MI,Cheboygan County
26033,Chippewa,MI,Chippewa County
26035,Clare,MI,Clare County
26037,Clinton,MI,Clinton County
26039,Crawford,MI,Crawford County
26041,Delta,MI,Delta County
26043,Dickinson,MI,Dickinson County
26045,Eaton,MI,Eaton County
26047,Emmet,MI,Emmet County
26049,Genesee,MI,Genesee County
26051,Gladwin,MI,Gladwin County
26053,Gogebic,MI,Gogebic County
26055,Grand Traverse,MI,Grand Traverse County
26057,Gratiot,MI,Gratiot County
26059,Hillsdale,MI,Hillsdale County
26061,Houghton,MI,Houghton County
26063,Huron,MI,Huron County
26065,Ingham,MI,Ingham County
26067,Ionia,MI,Ionia County
26069,Iosco,MI,Iosco County
26071,Iron,MI,Iron County
26073,Isabella,MI,Isabella County
26075,Jackson,MI,Jackson County
26077,Kalamazoo,MI,Kalamazoo County
26079,Kalkaska,MI,Kalkaska County
26081,Kent,MI,Kent County
26083,Keweenaw,MI,Keweenaw County
26085,Lake,MI,Lake County
26087,Lapeer,MI,Lapeer County
26089,Leelanau,MI,Leelanau County
26091,Lenawee,MI,Lenawee County
26093,Livingston,MI,Livingston County
26095,Luce,MI,Luce County
26097,Mackinac,MI,Mackinac County
26099,Macomb,MI,Macomb County
26101,Manistee,MI,Manistee County
26103,Marquette,MI,Marquette County
26105,Mason,MI,Mason County
26107,Mecosta,MI,Mecosta County
26109,Menominee,MI,Menominee County
26111,Midland,MI,Midland County
26113,Missaukee,MI,Missaukee County
26115,Monroe,MI,Monroe County
26117,Montcalm,MI,Montcalm County
26119,Montmorency,MI,Montmorency County
26121,Muskegon,MI,Muskegon County
26123,Newaygo,MI,Newaygo County
26125,Oakland,MI,Oakland County
26127,Oceana,MI,Oceana County
26129,Ogemaw,MI,Ogemaw County
26131,Ontonagon,MI,Ontonagon County
26133,Osceola,MI,Osceola County
26135,Oscoda,MI,Oscoda County
26137,Otsego,MI,Otsego County
26139,Ottawa,MI,Ottawa County
26141,Presque Isle,MI,Presque Isle County
26143,Roscommon,MI,Roscommon County
26145,Saginaw,MI,Saginaw County
26147,St Clair,MI,St Clair County
26149,St Joseph,MI,St Joseph County
26151,Sanilac,MI,Sanilac County
26153,Schoolcraft,MI,Schoolcraft County
26155,Shiawassee,MI,Shiawassee County
26157,Tuscola,MI,Tuscola County
26159,Van Buren,MI,Van Buren County
26161,Washtenaw,MI,Washtenaw County
26163,Wayne,MI,Wayne County
26165,Wexford,MI,Wexford County
27001,Aitkin,MN,Aitkin County
27003,Anoka,MN,Anoka County
27005,Becker,MN,Becker County
27007,Beltrami,MN,Beltrami County
27009,Benton,MN,Benton County
27011,Big Stone,MN,Big Stone County
27013,Blue Earth,MN,Blue Earth County
27015,Brown,MN,Brown County
27017,Carlton,MN,Carlton County
27019,Carver,MN,Carver County
27021,Cass,MN,Cass County
27023,Chippewa,MN,Chippewa County
27025,Chisago,MN,Chisago County
27027,Clay,MN,Clay County
27029,Clearwater,MN,Clearwater County
27031,Cook,MN,Cook County
27033,Cottonwood,MN,Cottonwood County
27035,Crow Wing,MN,Crow Wing County
27037,Dakota,MN,Dakota County
27039,Dodge,MN,Dodge County
27041,Douglas,MN,Douglas County
27043,Faribault,MN,Faribault County
27045,Fillmore,MN,Fillmore County
27047,Freeborn,MN,Freeborn County
27049,Goodhue,MN,Goodhue County
27051,Grant,MN,Grant County
27053,Hennepin,MN,Hennepin County
27055,Houston,MN,Houston County
27057,Hubbard,MN,Hubbard County
27059,Isanti,MN,Isanti County
27061,Itasca,MN,Itasca County
27063,Jackson,MN,Jackson County
27065,Kanabec,MN,Kanabec County
27067,Kandiyohi,MN,Kandiyohi County
27069,Kittson,MN,Kittson County
27071,Koochiching,MN,Koochiching County
27073,Lac qui Parle,MN,Lac qui Parle County
27075,Lake,MN,Lake County
27077,Lake of the Woods,MN,Lake of the Woods County
27079,Le Sueur,MN,Le Sueur County
27081,Lincoln,MN,Lincoln County
27083,Lyon,MN,Lyon County
27085,McLeod,MN,McLeod County
27087,Mahnomen,MN,Mahnomen County
27089,Marshall,MN,Marshall County
27091,Martin,MN,Martin County
27093,Meeker,MN,Meeker County
27095,Mille Lacs,MN,Mille Lacs County
27097,Morrison,MN,Morrison County
27099,Mower,MN,Mower County
27101,Murray,MN,Murray County
27103,Nicollet,MN,Nicollet County
27105,Nobles,MN,Nobles County
27107,Norman,MN,Norman County
27109,Olmsted,MN,Olmsted County
27111,Otter Tail,MN,Otter Tail County
27113,Pennington,MN,Pennington County
27115,Pine,MN,Pine County
27117,Pipestone,MN,Pipestone County
27119,Polk,MN,Polk County
27121,Pope,MN,Pope County
27123,Ramsey,MN,Ramsey County
27125,Red Lake,MN,Red Lake County
27127,Redwood,MN,Redwood County
27129,Renville,MN,Renville County
27131,Rice,MN,Rice County
27133,Rock,MN,Rock County
27135,Roseau,MN,Roseau County
27137,St Louis,MN,St Louis County
27139,Scott,MN,Scott County
27141,Sherburne,MN,Sherburne County
27143,Sibley,MN,Sibley County
27145,Stearns,MN,Stearns County
27147,Steele,MN,Steele County
27149,Stevens,MN,Stevens County
27151,Swift,MN,Swift County
27153,Todd,MN,Todd County
27155,Traverse,MN,Traverse County
27157,Wabasha,MN,Wabasha County
27159,Wadena,MN,Wadena County
27161,Waseca,MN,Waseca County
27163,Washington,MN,Washington County
27165,Watonwan,MN,Watonwan County
27167,Wilkin,MN,Wilkin County
27169,Winona,MN,Winona County
27171,Wright,MN,Wright County
27173,Yellow Medicine,MN,Yellow Medicine County
28001,Adams,MS,Adams County
28003,Alcorn,MS,Alcorn County
28005,Amite,MS,Amite County
28007,Attala,MS,Attala County
28009,Benton,MS,Benton County
28011,Bolivar,MS,Bolivar County
28013,Calhoun,MS,Calhoun County
28015,Carroll,MS,Carroll County
28017,Chickasaw,MS,Chickasaw County
28019,Choctaw,MS,Choctaw County
28021,Claiborne,MS,Claiborne County
28023,Clarke,MS,Clarke County
28025,Clay,MS,Clay County
28027,Coahoma,MS,Coahoma County
28029,Copiah,MS,Copiah County
28031,Covington,MS,Covington County
28033,DeSoto,MS,DeSoto County
28035,Forrest,MS,Forrest County
28037,Franklin,MS,Franklin County
28039,George,MS,George County
28041,Greene,MS,Greene County
28043,Grenada,MS,Grenada County
28045,Hancock,MS,Hancock County
28047,Harrison,MS,Harrison County
28049,Hinds,MS,Hinds County
28051,Holmes,MS,Holmes County
28053,Humphreys,MS,Humphreys County
28055,Issaquena,MS,Issaquena County
28057,Itawamba,MS,Itawamba County
28059,Jackson,MS,Jackson County
28061,Jasper,MS,Jasper County
28063,Jefferson,MS,Jefferson County
28065,Jefferson Davis,MS,Jefferson Davis County
28067,Jones,MS,Jones County
28069,Kemper,MS,Kemper County
28071,Lafayette,MS,Lafayette County
28073,Lamar,MS,Lamar County
28075,Lauderdale,MS,Lauderdale County
28077,Lawrence,MS,Lawrence County
28079,Leake,MS,Leake County
28081,Lee,MS,Lee County
28083,Leflore,MS,Leflore County
28085,Lincoln,MS,Lincoln County
28087,Lowndes,MS,Lowndes County
28089,Madison,MS,Madison County
28091,Marion,MS,Marion County
28093,Marshall,MS,Marshall County
28095,Monroe,MS,Monroe County
28097,Montgomery,MS,Montgomery County
28099,Neshoba,MS,Neshoba County
28101,Newton,MS,Newton County
28103,Noxubee,MS,Noxubee County
28105,Oktibbeha,MS,Oktibbeha County
28107,Panola,MS,Panola County
28109,Pearl River,MS,Pearl River County
28111,Perry,MS,Perry County
28113,Pike,MS,Pike County
28115,Pontotoc,MS,Pontotoc County
28117,Prentiss,MS,Prentiss County
28119,Quitman,MS,Quitman County
28121,Rankin,MS,Rankin County
28123,Scott,MS,Scott County
28125,Sharkey,MS,Sharkey County
28127,Simpson,MS,Simpson County
28129,Smith,MS,Smith County
28131,Stone,MS,Stone County
28133,Sunflower,MS,Sunflower County
28135,Tallahatchie,MS,Tallahatchie County
28137,Tate,MS,Tate County
28139,Tippah,MS,Tippah County
28141,Tishomingo,MS,Tishomingo County
28143,Tunica,MS,Tunica County
28145,Union,MS,Union County
28147,Walthall,MS,Walthall County
28149,Warren,MS,Warren County
28151,Washington,MS,Washington County
28153,Wayne,MS,Wayne County
28155,Webster,MS,Webster County
28157,Wilkinson,MS,Wilkinson County
28159,Winston,MS,Winston County
28161,Yalobusha,MS,Yalobusha County
28163,Yazoo,MS,Yazoo County
29001,Adair,MO,Adair County
29003,Andrew,MO,Andrew County
29005,Atchison,MO,Atchison County
29007,Audrain,MO,Audrain County
29009,Barry,MO,Barry County
29011,Barton,MO,Barton County
29013,Bates,MO,Bates County
29015,Benton,MO,Benton County
29017,Bollinger,MO,Bollinger County
29019,Boone,MO,Boone County
29021,Buchanan,MO,Buchanan County
29023,Butler,MO,Butler County
29025,Caldwell,MO,Caldwell County
29027,Callaway,MO,Callaway County
29029,Camden,MO,Camden County
29031,Cape Girardeau,MO,Cape Girardeau County
29033,Carroll,MO,Carroll County
29035,Carter,MO,Carter County
29037,Cass,MO,Cass County
29039,Cedar,MO,Cedar County
29041,Chariton,MO,Chariton County
29043,Christian,MO,Christian County
29045,Clark,MO,Clark County
29047,Clay,MO,Clay County
29049,Clinton,MO,Clinton County
29051,Cole,MO,Cole County
29053,Cooper,MO,Cooper County
29055,Crawford,MO,Crawford County
29057,Dade,MO,Dade County
29059,Dallas,MO,Dallas County
29061,Daviess,MO,Daviess County
29063,DeKalb,MO,DeKalb County
29065,Dent,MO,Dent County
29067,Douglas,MO,Douglas County
29069,Dunklin,MO,Dunklin County
29071,Franklin,MO,Franklin County
29073,Gasconade,MO,Gasconade County
29075,Gentry,MO,Gentry County
29077,Greene,MO,Greene County
29079,Grundy,MO,Grundy County
29081,Harrison,MO,Harrison County
29083,Henry,MO,Henry County
29085,Hickory,MO,Hickory County
29087,Holt,MO,Holt County
29089,Howard,MO,Howard County
29091,Howell,MO,Howell County
29093,Iron,MO,Iron County
29095,Jackson,MO,Jackson County
29097,Jasper,MO,Jasper County
29099,Jefferson,MO,Jefferson County
29101,Johnson,MO,Johnson County
29103,Knox,MO,Knox County
29105,Laclede,MO,Laclede County
29107,Lafayette,MO,Lafayette County
29109,Lawrence,MO,Lawrence County
29111,Lewis,MO,Lewis County
29113,Lincoln,MO,Lincoln County
29115,Linn,MO,Linn County
29117,Livingston,MO,Livingston County
29119,McDonald,MO,McDonald County
29121,Macon,MO,Macon County
29123,Madison,MO,Madison County
29125,Maries,MO,Maries County
29127,Marion,MO,Marion County
29129,Mercer,MO,Mercer County
29131,Miller,MO,Miller County
29133,Mississippi,MO,Mississippi County
29135,Moniteau,MO,Moniteau County
29137,Monroe,MO,Monroe County
29139,Montgomery,MO,Montgomery County
29141,Morgan,MO,Morgan County
29143,New Madrid,MO,New Madrid County
29145,Newton,MO,Newton County
29147,Nodaway,MO,Nodaway County
29149,Oregon,MO,Oregon County
29151,Osage,MO,Osage County
29153,Ozark,MO,Ozark County
29155,Pemiscot,MO,Pemiscot County
29157,Perry,MO,Perry County
29159,Pettis,MO,Pettis County
29161,Phelps,MO,Phelps County
29163,Pike,MO,Pike County
29165,Platte,MO,Platte County
29167,Polk,MO,Polk County
29169,Pulaski,MO,Pulaski County
29171,Putnam,MO,Putnam County
29173,Ralls,MO,Ralls County
29175,Randolph,MO,Randolph County
29177,Ray,MO,Ray County
29179,Reynolds,MO,Reynolds County
29181,Ripley,MO,Ripley County
29183,St Charles,MO,St Charles County
29185,St Clair,MO,St Clair County
29186,Ste. Genevieve,MO,Ste. Genevieve County
29187,St Francois,MO,St Francois County
29189,St Louis,MO,St Louis County
29195,Saline,MO,Saline County
29197,Schuyler,MO,Schuyler County
29199,Scotland,MO,Scotland County
29201,Scott,MO,Scott County
29203,Shannon,MO,Shannon County
29205,Shelby,MO,Shelby County
29207,Stoddard,MO,Stoddard County
29209,Stone,MO,Stone County
29211,Sullivan,MO,Sullivan County
29213,Taney,MO,Taney County
29215,Texas,MO,Texas County
29217,Vernon,MO,Vernon County
29219,Warren,MO,Warren County
29221,Washington,MO,Washington County
29223,Wayne,MO,Wayne County
29225,Webster,MO,Webster County
29227,Worth,MO,Worth County
29229,Wright,MO,Wright County
29510,St Louis City,MO,St Louis City County
30001,Beaverhead,MT,Beaverhead County
30003,Big Horn,MT,Big Horn County
30005,Blaine,MT,Blaine County
30007,Broadwater,MT,Broadwater County
30009,Carbon,MT,Carbon County
30011,Carter,MT,Carter County
30013,Cascade,MT,Cascade County
30015,Chouteau,MT,Chouteau County
30017,Custer,MT,Custer County
30019,Daniels,MT,Daniels County
30021,Dawson,MT,Dawson County
30023,Deer Lodge,MT,Deer Lodge County
30025,Fallon,MT,Fallon County
